Data,liczba_wszystkich_zakazen
2023-01-01,118
2023-01-02,693
2023-01-03,570
2023-01-04,526
2023-01-05,463
2023-01-06,120
2023-01-07,143
2023-01-08,103
2023-01-09,504
2023-01-10,370
2023-01-11,342
2023-01-12,324
2023-01-13,340
2023-01-14,77
2023-01-15,55
2023-01-16,514
2023-01-17,378
2023-01-20,415
2023-01-21,73
2023-01-22,65
2023-01-23,687
2023-01-24,494
2023-01-25,532
2023-01-26,540
2023-01-27,520
2023-01-28,50
2023-01-29,53
2023-01-30,989
2023-01-31,836
2023-02-01,811
2023-02-02,1124
2023-02-03,820
2023-02-04,121
2023-02-05,129
2023-02-06,1447
2023-02-07,1211
2023-02-08,1170
2023-02-09,1179
2023-02-10,1350
2023-02-11,169
2023-02-12,200
2023-02-13,2317
2023-02-14,1876
2023-02-15,1977
2023-02-16,1923
2023-02-17,2030
2023-02-18,280
2023-02-19,280
2023-02-20,3431
2023-02-21,2770
2023-02-22,2813
2023-02-23,2655
2023-02-24,2595
2023-02-25,427
2023-02-26,432
2023-02-27,3772
2023-02-28,2992
2023-03-01,3036
2023-03-02,3291
2023-03-03,3112
2023-03-04,427
2023-03-05,450
2023-03-06,4833
2023-03-07,3907
2023-03-08,3462
2023-03-09,3621
2023-03-10,3633
2023-03-11,479
2023-03-12,535
2023-03-13,5083
2023-03-14,4071
2023-03-15,3661
2023-03-16,3364
2023-03-17,3203
2023-03-18,430
2023-03-19,393
2023-03-20,4203
2023-03-21,3048
2023-03-22,2724
2023-03-23,2353
2023-03-24,2359
2023-03-25,303
2023-03-26,329
2023-03-27,2716
2023-03-28,1763
2023-03-29,1541
2023-03-30,1461
2023-03-31,1343
2023-04-01,205
2023-04-02,233
2023-04-03,1780
2023-04-04,1240
2023-04-05,1171
2023-04-06,946
2023-04-07,839
2023-04-08,161
2023-04-09,116
2023-04-10,146
2023-04-11,1389
2023-04-12,1090
2023-04-13,914
2023-04-14,912
2023-04-15,104
2023-04-16,107
2023-04-17,993
2023-04-18,631
2023-04-19,511
2023-04-20,455
2023-04-21,445
2023-04-22,73
2023-04-23,76
2023-04-24,547
2023-04-25,351
2023-04-26,342
2023-04-27,286
2023-04-28,254
2023-04-29,45
2023-04-30,53
2023-05-01,45
2023-05-02,247
2023-05-03,59
2023-05-04,251
2023-05-05,234
2023-05-06,44
2023-05-07,33
2023-05-08,184
2023-05-09,159
2023-05-10,146
2023-05-11,113
2023-05-12,144
2023-05-13,26
2023-05-14,15
2023-05-15,178
2023-05-16,114
2023-05-17,141
2023-05-18,97
2023-05-19,88
2023-05-20,19
2023-05-21,25
2023-05-22,165
2023-05-23,92
2023-05-24,72
2023-05-25,81
2023-05-26,66
2023-05-27,9
2023-05-28,24
2023-05-29,85
2023-05-30,62
2023-05-31,88
2023-06-01,64
2023-06-02,50
2023-06-03,13
2023-06-04,16
2023-06-05,54
2023-06-06,57
2023-06-07,65
2023-06-08,9
2023-06-09,49
2023-06-10,10
2023-06-11,6
2023-06-12,53
2023-06-13,46
2023-06-14,35
2023-06-15,28
2023-06-16,30
2023-06-17,3
2023-06-18,9
2023-06-19,43
2023-06-20,31
2023-06-21,29
2023-06-22,30
2023-06-23,32
2023-06-24,5
2023-06-25,2
2023-06-26,24
2023-06-27,28
2023-06-28,15
2023-06-29,16
2023-06-30,14
2023-07-01,4
2023-07-02,2
2023-07-03,20
2023-07-04,11
2023-07-05,11
2023-07-06,6
2023-07-07,16
2023-07-08,1
2023-07-09,1
2023-07-10,20
2023-07-11,11
2023-07-12,20
2023-07-13,13
2023-07-14,14
2023-07-15,2
