Data,liczba_wszystkich_zakazen
2024-05-11,23
2024-05-12,1
2024-05-13,0
2024-05-14,42
2024-05-15,26
2024-05-16,22
2024-05-17,27
2024-05-18,28
2024-05-19,6
2024-05-20,5
2024-05-01,22
2024-05-02,1
2024-05-03,26
2024-05-04,0
2024-05-05,1
2024-05-06,1
2024-05-07,30
2024-05-08,11
2024-05-09,22
2024-05-10,15
2024-04-21,2
2024-04-22,2
2024-04-23,22
2024-04-24,28
2024-04-25,17
2024-04-26,26
2024-04-27,16
2024-04-28,1
2024-04-29,0
2024-04-30,22
2024-03-27,34
2024-03-28,52
2024-03-29,42
2024-03-30,47
2024-03-31,5
2024-04-01,4
2024-04-02,1
2024-04-03,51
2024-04-19,10
2024-04-20,12
2024-03-17,9
2024-03-18,2
2024-03-19,70
2024-03-20,57
2024-03-21,64
2024-03-22,31
2024-03-23,52
2024-03-24,2
2024-03-25,2
2024-03-26,69
2024-03-07,78
2024-03-08,86
2024-03-09,72
2024-03-10,7
2024-03-11,11
2024-03-12,93
2024-03-13,91
2024-03-14,82
2024-03-15,46
2024-03-16,59
2024-02-26,13
2024-02-27,199
2024-02-28,148
2024-02-29,115
2024-03-01,87
2024-03-02,109
2024-03-03,22
2024-03-04,5
2024-03-05,125
2024-03-06,90
2024-02-19,11
2024-02-20,273
2024-02-21,210
2024-02-22,170
2024-02-23,184
2024-02-24,246
2024-02-25,11
2024-02-16,194
2024-02-17,187
2024-02-18,15
